,id,question,option_a,option_b,option_c,option_d,answer,prediction
306,2-307,"Tìm số lớn nhất trong dãy: 2,345; 2,453; 2,534; 2,345","A. 2,345","B. 2,534","C. 2,453","D. 2,345",B,B
307,2-308,"Một mảnh vườn hình chữ nhật dài 44 m, rộng 12 m. Nếu người ta dùng 10 % diện tích mảnh đất để làm nhà thì phần đất còn lại là:",A. 300 m^{2},"B. 475,2 m^{2}","C. 60,32 m^{2}",D. 204 m^{2},B,B
308,2-309,"Tìm một số biết 35% - 15% của số đó là 5,4 - 1,2 :",A. 25,B. 2,C. 21,D. 20,C,D
309,2-310,"Cái hộp có chiều dài 12cm, chiều rộng 3cm và chiểu cao 2,2cm, thể tích của cái hộp đó là:",A. 30cm^{3},B. 35cm^{3},C. 59cm^{3},"D. 79,2cm^{3}",D,D
310,2-311,"Số thập phân gồm 25 đơn vị, 9 phần mười và 7 phần nghìn là:","A. 25,97","B. 25,097","C. 25,907","D. 2,597",C,A
311,2-312,"Giá trị của biểu thức 8,5 + 6,5- (10-3,3) + 1 là","A. 8,3","B. 7,3","C. 9,3","D. 0,7",A,B
312,2-313,Điền số thích hợp: 2m^{3}85dm^{3} = …………………m^{3}.,"A. 2,385","B. 2,085",C. 285,"D. 23,85",B,B
313,2-314,"Tìm chữ số x, biết: 5,5 \times x < 5,471",A. X = 8,B. X = 7,C. X = 1,D. X = 0,D,B
314,2-315,"Lớp 5A có số bạn đi thi học sinh giỏi môn toán là 2/11, và số bạn thi học sinh giỏi môn tiếng Việt là 1/4 sau khi các bạn đi thi học sinh giỏi thì trong lớp còn 25 bạn. Hỏi tổng số bạn đi thi học sinh giỏi môn toán và tiếng Việt là bao nhiêu bạn?",A. 13,B. 15,C. 17,D. 19,B,A
315,2-316,"Hình chữ nhật ABCD có chiều dài bằng 16cm, chiều rộng bằng 1/4 chiều dài. Tính diện tích của hình chữ nhật đó.","A. 6,4 m2","B. 12,8 m2",C. 128 cm2,D. 64 cm2,D,D
316,2-317,"Các số X, III, XIX, XX, VII được sắp xếp theo thứ tự từ bé đến lớn:","A. X, XIX,XX, VII, III","B. III, XIX,VII, X,XX","C. III,VII,X,XIX,XX","D. III,X,VII,XIX,XX",C,D
317,2-318,Điền số thích hợp: 10m^{2} 6dm^{2} =........m^{2} là:,A. 10,"B. 10,06",C. 1006,D. 10,B,B
318,2-319,"Chữ số 6 trong số 15,306 thuộc hàng nào?",A. Hàng đơn vị,B. Hàng trăm,C. Hàng phần trăm,D. Hàng phần nghìn,D,C
319,2-320,Đổi: 2kg 15g =  ............g,A. 215g,B. 2150g,C. 2015g,D. 2105g,C,B
320,2-321,"Trên bảng ghi các số 15, 18, 21, 24, 27, 30, 33, 36. Bạn Mạnh xóa đi một số thì thấy trung bình cộng của các số trên bảng còn lại kết thúc bằng chữ số 4. Hãy cho biết Mạnh xóa đi số nào?",A. 36,B. 33,C. 24,D. 18,C,C
321,2-322,Số dư trong phép chia 12328 : 105 sau khi cộng với 7 là bao nhiêu:,A. 20,B. 30,C. 40,D. 50,D,B
322,2-323,Một ôtô có vận tốc 60 km/giờ. Vậy vận tốc của ô tô khi đổi sang mét/phút là bao nhiêu?,A. 1000 m/phút,B. 805 m/phút,C. 510 m/phút,D. 5100 m/phút,A,C
323,2-324,Số thập phân có 2 thành phần:,"A. Phần nguyên đứng trước dấu phẩy, phần thập phân đứng sau dấu phẩy","B. Phần nguyên đứng sau dấu phẩy, phần thập phân đứng trước dấu phẩy","C. Phần nguyên đứng trước dấu phẩy, phần phân số thập phân đứng sau dấu phẩy","D. Phần nguyên đứng sau dấu phẩy, phần phân số đứng trước dấu phẩy",A,A
324,2-325,Kết quả của 2km 17m = …………km là:,"A. 2,017 km","B. 2,17 km","C. 0,217 km","D. 21,17 km",A,A
325,2-326,Số \frac{3}{25} + \frac{1}{100} viết dưới dạng số thập phân là:,"A. 0,13","B. 0,15","C. 0,001","D. 0,12",A,C
326,2-327,Hỗn số 17 \frac{3}{10} viết dưới dạng số thập phân là :,"A. 1,73","B. 17,3","C. 7,13","D. 7,03",B,B
327,2-328,Một hình tròn có đường kính 3m. Diện tích nửa hình tròn đó là:,"A. 7,065m^{2}","B. 8,54m^{2}","C. 70,65m^{2}","D. 3,5325m^{2}",A,D
328,2-329,"Giá trị của chữ số 8 trong số thập phân 50,289:",A. 8,B. \frac{8}{10},C. \frac{8}{100},D. 80,C,B
329,2-330,Diện tích hình tròn có bán kính 10 cm là:,"A. 3,14 dm^{2}","B. 3,14 cm^{2}","C. 0,314 dm^{2}","D. 34,1 cm^{2}",B,A
330,2-331,Có bao nhiêu số có 2 chữ số mà số đó gấp 4 lần tổng 2 chữ số của nó?,A. 2,B. 3,C. 4,D. 5,C,B
331,2-332,"Người thứ nhất làm xong công việc trong 4 giờ, người thứ hai làm xong công việc trong 8 giờ. Thời gian hoàn thành nếu hai người cùng làm là:",A. 20 giờ,B. 9 giờ,C. \frac{20}{9} giờ,D. \frac{8}{3} giờ,D,D
